Final Reward, Lenght
-108.60097687936282, 170.8
-368.9349919910324, 443.5
-318.3539304488215, 538.3
-293.15249076805446, 527.6
-266.40548714778373, 525.6
-165.8361021694855, 141.9
-181.8698293306639, 281.4
-32.81703644696539, 70.0
-134.92644634251207, 181.3
-414.50675965273024, 425.1
-93.05747386872204, 139.7
-183.6794230203565, 249.7
-154.40226154780862, 422.2
-241.5158112741321, 351.9
-283.32879837211283, 345.9
3.894436390299164, 64.0
-69.11756908611595, 170.3
-443.26519397313086, 359.2
-66.91689111965779, 152.1
-66.13302450579485, 91.0
-257.5579492164287, 356.3
-151.06183683239857, 145.5
-358.6055041582322, 550.2
-154.34167125150148, 174.1
-311.60335190249276, 426.8
-345.1350179722408, 295.3
-189.498911363765, 231.4
-427.0540180039784, 450.0
-41.34597812601677, 76.1
-406.27783013030495, 286.6
-144.71155147764097, 301.7
-133.4195822837696, 193.0
